"command_id","indicator_id","indicator_type"
"ufw-allow-port","indicator_158","success"
"ufw-allow-port","indicator_159","success"
"ufw-allow-port","indicator_160","failure"
"ufw-disable","indicator_161","success"
"ufw-disable","indicator_162","failure"
"firewalld-list-all","indicator_163","success"
"firewalld-list-all","indicator_164","success"
"firewalld-list-all","indicator_165","success"
"firewalld-list-all","indicator_166","failure"
"firewalld-list-all","indicator_167","failure"
"firewalld-add-port","indicator_168","success"
"firewalld-add-port","indicator_169","failure"
"firewalld-add-port","indicator_170","failure"
"firewalld-port-forward","indicator_171","success"
"netsh-firewall-show","indicator_172","success"
"netsh-firewall-show","indicator_173","success"
"netsh-firewall-show","indicator_174","success"
"netsh-firewall-show","indicator_175","success"
"netsh-firewall-show","indicator_176","failure"
"netsh-firewall-show-state","indicator_177","success"
"netsh-firewall-show-state","indicator_178","success"
"netsh-firewall-show-state","indicator_179","failure"
"netsh-firewall-show-state","indicator_180","failure"
"netsh-firewall-add-rule","indicator_181","success"
"netsh-firewall-add-rule","indicator_182","failure"
"netsh-firewall-add-rule","indicator_183","failure"
"netsh-firewall-port-forward","indicator_184","success"
"netsh-firewall-port-forward","indicator_185","failure"
"netsh-portproxy-add","indicator_186","success"
"netsh-portproxy-add","indicator_187","success"
"netsh-portproxy-add","indicator_188","failure"
"netsh-portproxy-add","indicator_189","failure"
"netsh-portproxy-show","indicator_190","success"
"netsh-portproxy-show","indicator_191","success"
"netsh-portproxy-show","indicator_192","failure"
"netsh-firewall-disable","indicator_193","success"
"netsh-firewall-disable","indicator_194","failure"
"netsh-firewall-delete-rule","indicator_195","success"
"netsh-firewall-delete-rule","indicator_196","success"
"netsh-firewall-delete-rule","indicator_197","failure"
"systemctl-start-ssh","indicator_198","success"
"systemctl-start-ssh","indicator_199","success"
"systemctl-start-ssh","indicator_200","success"
"systemctl-start-ssh","indicator_201","success"
"systemctl-start-ssh","indicator_202","failure"
"systemctl-start-ssh","indicator_203","failure"
"systemctl-start-ssh","indicator_204","failure"
"apache2-start","indicator_205","success"
"apache2-start","indicator_206","success"
"apache2-start","indicator_207","success"
"apache2-start","indicator_208","success"
"apache2-start","indicator_209","success"
"apache2-start","indicator_210","failure"
"apache2-start","indicator_211","failure"
"apache2-start","indicator_212","failure"
"ss-listening-ports","indicator_213","success"
"ss-listening-ports","indicator_214","success"
"ss-listening-ports","indicator_215","success"
"ss-listening-ports","indicator_216","success"
"ss-listening-ports","indicator_217","failure"
"ss-listening-ports","indicator_218","failure"
"ip-addr","indicator_219","success"
"ip-addr","indicator_220","success"
"ip-addr","indicator_221","success"
"ip-addr","indicator_222","success"
"ip-addr","indicator_223","success"
"ip-addr","indicator_224","failure"
"ip-addr","indicator_225","failure"
"ip-route","indicator_226","success"
"ip-route","indicator_227","success"
"ip-route","indicator_228","success"
"ip-route","indicator_229","success"
"ip-route","indicator_230","success"
"ip-route","indicator_231","failure"
"ip-route","indicator_232","failure"
"ip-route","indicator_233","failure"
"nmap-port-check","indicator_234","success"
"nmap-port-check","indicator_235","success"
"nmap-port-check","indicator_236","success"
"nmap-port-check","indicator_237","success"
"nmap-port-check","indicator_238","failure"
"nmap-port-check","indicator_239","failure"
"nmap-port-check","indicator_240","failure"
"nmap-port-check","indicator_241","failure"
"psql-connect","indicator_242","success"
"psql-connect","indicator_243","success"
"psql-connect","indicator_244","success"
"psql-connect","indicator_245","success"
"psql-connect","indicator_246","failure"
"psql-connect","indicator_247","failure"
"psql-connect","indicator_248","failure"
"psql-connect","indicator_249","failure"
"smbclient-list-shares","indicator_250","success"
"smbclient-list-shares","indicator_251","success"
"smbclient-list-shares","indicator_252","success"
